run_id,run_threshold,used_dim_red_weights,used_training_weights,accuracy,precision,recall,f1_score_weighted,f1_score_unweighted,xgb_learning_rate,xgb_n_estimators,xgb_objective,xgb_subsample,xgb_min_child_weight,xgb_max_depth,xgb_gamma,xgb_colsample_bytree
0,0.05,False,False,88.45077856954342,87.71364076104481,60.08394079964656,0.6338222068729374,0.713162034609334,0.02,600,binary:logistic,0.6,1,6,5,0.8
1,0.04,False,False,88.24491950382686,87.9287598944591,58.89109785730064,0.6225629948305984,0.7053843100939279,0.02,600,binary:logistic,0.6,1,6,5,0.8
2,0.03,False,False,88.10240168910003,88.07370184254606,58.07377954495251,0.614718108214839,0.6999467518636848,0.02,600,binary:logistic,0.6,1,6,5,0.8
3,0.02,False,False,88.00211137503298,88.38555858310627,57.322730284956926,0.6108284239559176,0.69543079190674,0.02,600,binary:logistic,0.6,1,6,5,0.8
4,0.01,False,False,87.8490366851412,89.02139600140302,56.063618290258454,0.6029893621881951,0.6879913255624831,0.02,600,binary:logistic,0.6,1,6,5,0.8
