,cid,pid,activity,cid_binary_weights,pid_binary_weights
0,76314488,P31391,0,0.9941770552338262,0.9951908248223409
1,11205515,P31391,0,0.993953096481936,0.9951908248223409
2,11170698,P31391,0,0.995521025930306,0.9951908248223409
3,11170698,P31391,0,0.995521025930306,0.9951908248223409
4,11205475,P31391,0,0.9956027303244395,0.9951908248223409
5,11205475,P31391,0,0.9956027303244395,0.9951908248223409
6,11205475,P31391,0,0.9956027303244395,0.9951908248223409
7,11205475,P31391,0,0.9956027303244395,0.9951908248223409
8,11205475,P31391,0,0.9956027303244395,0.9951908248223409
9,11205475,P31391,0,0.9956027303244395,0.9951908248223409
10,44278770,P31391,0,0.994732540600042,0.9951908248223409
11,24860201,P31391,0,0.9923754437310809,0.9951908248223409
12,127030101,P31391,0,0.9966157845069067,0.9951908248223409
13,9854636,P31391,0,0.9946723924048129,0.9951908248223409
14,9854636,P31391,0,0.9946723924048129,0.9951908248223409
15,16148596,P31391,0,0.9947917724728633,0.9951908248223409
16,16148596,P31391,0,0.9947917724728633,0.9951908248223409
17,11389178,P31391,0,0.9950108282563056,0.9951908248223409
18,11389178,P31391,0,0.9950108282563056,0.9951908248223409
19,76321778,P31391,0,0.9945584665638266,0.9951908248223409
20,86293506,P31391,0,0.9828704147288492,0.9951908248223409
21,16157479,P31391,0,0.9973458988426755,0.9951908248223409
22,16154096,P31391,0,0.9938357420815475,0.9951908248223409
23,73345528,P31391,0,0.9934433769223161,0.9951908248223409
24,73345528,P31391,0,0.9934433769223161,0.9951908248223409
25,11320738,P31391,0,0.9923004707515652,0.9951908248223409
26,11320738,P31391,0,0.9923004707515652,0.9951908248223409
27,11320738,P31391,0,0.9923004707515652,0.9951908248223409
28,11205496,P31391,0,0.9962559509394631,0.9951908248223409
29,11205496,P31391,0,0.9962559509394631,0.9951908248223409
30,11378299,P31391,0,0.9952798754304476,0.9951908248223409
31,11378299,P31391,0,0.9952798754304476,0.9951908248223409
32,16129681,P31391,1,0.99437702542078,0.9951908248223409
33,16129681,P31391,0,0.99437702542078,0.9951908248223409
34,16129681,P31391,0,0.99437702542078,0.9951908248223409
35,16129681,P31391,0,0.99437702542078,0.9951908248223409
36,25187399,P31391,0,0.9889285013581353,0.9951908248223409
37,44388125,P31391,0,0.9949999789005668,0.9951908248223409
38,16154000,P31391,0,0.9946083081860463,0.9951908248223409
39,86294248,P31391,0,0.9558850943322811,0.9951908248223409
40,72947672,P31391,0,0.9952661744330595,0.9951908248223409
41,383414,P31391,0,0.9852533524753262,0.9951908248223409
42,44420805,P31391,0,0.9941315746295362,0.9951908248223409
43,44420803,P31391,0,0.9947593499311318,0.9951908248223409
44,44420802,P31391,0,0.9944072706898117,0.9951908248223409
45,44388117,P31391,0,0.9965550096330905,0.9951908248223409
46,44420804,P31391,0,0.9942673056376512,0.9951908248223409
47,44388046,P31391,0,0.9948037764210386,0.9951908248223409
48,86292350,P31391,0,0.9704521978378186,0.9951908248223409
49,44420807,P31391,0,0.9963114625392014,0.9951908248223409
50,16152257,P31391,0,0.9945620155619477,0.9951908248223409
51,16152257,P31391,0,0.9945620155619477,0.9951908248223409
52,24859056,P31391,0,0.9944944324744153,0.9951908248223409
53,24859056,P31391,0,0.9944944324744153,0.9951908248223409
54,44311601,P31391,0,0.9954669090756378,0.9951908248223409
55,44311601,P31391,0,0.9954669090756378,0.9951908248223409
56,16149640,P31391,0,0.9927051774263603,0.9951908248223409
57,44388047,P31391,0,0.9906236790318773,0.9951908248223409
58,11240205,P31391,0,0.9930457097645162,0.9951908248223409
59,24858018,P31391,0,0.9946784889084884,0.9951908248223409
60,24858018,P31391,0,0.9946784889084884,0.9951908248223409
61,24859645,P31391,0,0.9940576667409083,0.9951908248223409
62,24859645,P31391,0,0.9940576667409083,0.9951908248223409
63,11468916,P31391,0,0.9944851490299194,0.9951908248223409
64,44420806,P31391,0,0.9890410550411703,0.9951908248223409
65,11274767,P31391,0,0.9947250091104991,0.9951908248223409
66,11274767,P31391,0,0.9947250091104991,0.9951908248223409
67,44388023,P31391,0,0.995204560690108,0.9951908248223409
68,44368080,P31391,0,0.9938179157872177,0.9951908248223409
69,16151159,P31391,0,0.9957077363610756,0.9951908248223409
70,16150676,P31391,0,0.9956072269597861,0.9951908248223409
71,25188219,P31391,0,0.9871245607435922,0.9951908248223409
72,24859494,P31391,0,0.9930857896516762,0.9951908248223409
73,118718416,P31391,0,0.991953349960103,0.9951908248223409
74,16151781,P31391,0,0.9940159388949524,0.9951908248223409
75,16150915,P31391,0,0.9944748467290888,0.9951908248223409
