p,k,sum_of_weights^p,p@k,weighted_p@k
25,1,0.022364263602085575,1.0,1.0
25,11,0.668032577102167,1.0,1.0
25,21,3.4955001359204187,0.9523809523809523,0.8198305306630168
25,31,5.593722962953387,0.9354838709677419,0.7845229075998906
25,41,8.957678822884857,0.9024390243902439,0.7445855150569266
25,51,12.627266972750883,0.9019607843137255,0.7939584489748059
25,61,14.886815482174358,0.8688524590163934,0.7552578788672955
25,71,17.137005372264863,0.8591549295774648,0.780324328077476
25,81,18.59472878319696,0.8518518518518519,0.7653870514033381
25,91,21.051564238297196,0.8461538461538461,0.7852369214511355
25,101,24.752520414533652,0.8316831683168316,0.7833626551059504
25,111,27.194576705259735,0.8288288288288288,0.7674003055728189
25,121,30.001149123210432,0.8099173553719008,0.7483227335380237
25,131,31.400173475308744,0.8015267175572519,0.740168055931121
25,141,33.34179368119312,0.7872340425531915,0.7286431623910411
25,151,37.28705103835905,0.7814569536423841,0.7234750603592135
25,161,40.4209762558679,0.782608695652174,0.7309816916199587
25,171,43.49140293077768,0.7894736842105263,0.7451054037533466
25,181,46.16478865840746,0.7845303867403315,0.7478097032967629
25,191,48.124714310946175,0.7905759162303665,0.7464995317800537
25,201,50.4643489925394,0.7910447761194029,0.7511402241344514
25,211,51.356626188710734,0.7819905213270142,0.7470594861349026
25,221,54.8065629295635,0.7828054298642534,0.7421703886195958
25,231,57.16668243151324,0.7878787878787878,0.7481508706981757
25,241,58.33073169464182,0.7883817427385892,0.7436702377018819
25,251,61.76641060532752,0.7808764940239044,0.7375237708445236
25,261,63.38365156694754,0.7739463601532567,0.7221576605873904
25,271,66.15099679946348,0.7785977859778598,0.7268544064700365
25,281,67.91064963690309,0.7758007117437722,0.720454334470722
25,291,70.03469168379652,0.7766323024054983,0.7220934372396021
25,301,71.7497919761693,0.7740863787375415,0.7229524952762172
25,311,75.35303695193679,0.7781350482315113,0.7277281102127869
25,321,76.23230646288863,0.7757009345794392,0.7195348935482967
25,331,78.24287020918905,0.7734138972809668,0.7229480823678607
25,341,79.7930754949181,0.7683284457478006,0.7147683998221486
25,351,82.689141282197,0.7692307692307693,0.7174772970753006
25,361,85.48518129371685,0.7673130193905817,0.7187277521397177
25,371,88.72115049692943,0.77088948787062,0.7261771265290343
25,381,91.85342874605806,0.7690288713910761,0.7308787828374268
25,391,94.74675510026206,0.7723785166240409,0.7358461984153373
25,401,97.74237964365447,0.773067331670823,0.7358923501940948
25,411,98.70985170731102,0.7664233576642335,0.7295536050006369
25,421,100.38437675506061,0.7624703087885986,0.7286931638611311
25,431,102.16170735565113,0.7610208816705336,0.7299231239751874
25,441,103.8628702960459,0.7596371882086168,0.730132317267601
25,451,105.98893011525422,0.7560975609756098,0.7256147485835909
