run_id,run_threshold,used_dim_red_weights,used_training_weights,cid,pid,activity,sample_activity_score,validation_weight,cid_only_predict_proba,pid_only_predict_proba,combined_predict_proba
1,0.09,False,True,644241,P08183,1,0.4393433652530781,0.9410205434062293,0.22626431286334991,0.8924630284309387,0.7126846313476562
1,0.09,False,True,644241,P08684,1,0.34467502983380394,0.4448862381267948,0.22626431286334991,0.9760385155677795,0.7639843821525574
1,0.09,False,True,644241,Q9Y6L6,1,0.5665484167652082,0.32317207863927544,0.22626431286334991,0.7559928297996521,0.520453691482544
1,0.09,False,True,644241,P00519,1,0.3883440739702997,0.9248950740004418,0.22626431286334991,0.24040116369724274,0.13091795146465302
1,0.09,False,True,5279,Q9NRP7,1,0.08274078862314149,0.9593549812237685,0.12565794587135315,0.3654361069202423,0.20248998701572418
1,0.09,False,True,2995,P08183,1,0.6318052738336712,0.9686326485531257,0.6286010146141052,0.8924630284309387,0.9444262385368347
1,0.09,False,True,2995,Q63380,1,0.5720853858784893,0.27943450408659154,0.6286010146141052,0.32756760716438293,0.7049988508224487
1,0.09,False,True,2995,O75751,1,0.7339901477832513,0.36602606582725866,0.6286010146141052,0.7545942664146423,0.8253977298736572
1,0.09,False,True,2995,P28335,1,0.8668805132317563,0.4185995140269494,0.6286010146141052,0.5123385190963745,0.850466787815094
1,0.09,False,True,2995,Q9H015,1,0.4482758620689655,0.2953390766512039,0.6286010146141052,0.7947052121162415,0.8688112497329712
1,0.09,False,True,4633,P35498,1,0.2296227293898463,0.11376187320521317,0.32978513836860657,0.21880309283733368,0.3502405881881714
1,0.09,False,True,2351,P08183,1,0.5882913165266106,0.24872984316324276,0.37512385845184326,0.8924630284309387,0.893628716468811
1,0.09,False,True,2351,Q12809,1,0.7777777777777777,0.4285398718798321,0.37512385845184326,0.4787802994251251,0.5099738240242004
1,0.09,False,True,2351,P54750,1,0.4373706004140785,0.3914292025624034,0.37512385845184326,0.3688170611858368,0.35130932927131653
