run_id,run_threshold,used_dim_red_weights,used_training_weights,accuracy,precision,recall,f1_score_weighted,f1_score_unweighted,xgb_learning_rate,xgb_n_estimators,xgb_objective,xgb_subsample,xgb_min_child_weight,xgb_max_depth,xgb_gamma,xgb_colsample_bytree
0,0.05,False,True,88.01794668778041,82.4002296870514,63.39739341727413,0.6440823749253128,0.7166042446941324,0.02,600,binary:logistic,0.6,1,6,5,0.8
1,0.04,False,True,87.97044074953814,82.3546344271733,63.19858626021648,0.6373810768929137,0.7151606049243845,0.02,600,binary:logistic,0.6,1,6,5,0.8
2,0.03,False,True,87.85431512272368,82.39231664726427,62.53589573669096,0.6342912749778974,0.7110385533090544,0.02,600,binary:logistic,0.6,1,6,5,0.8
3,0.02,False,True,87.76458168382159,82.47574242869744,61.961563949635526,0.630440764871442,0.7076185671039356,0.02,600,binary:logistic,0.6,1,6,5,0.8
4,0.01,False,True,87.91765637371338,83.14573459715639,62.005743317870554,0.6328742927162543,0.7103631532329495,0.02,600,binary:logistic,0.6,1,6,5,0.8
