cid,pid,activity,cid_binary_weights,pid_binary_weights,cid_continuous_weights,pid_continuous_weights
76314488,P31391,0,0.9941770552338262,0.9951908248223408,0.9977782094980175,0.9831408184091744
11205515,P31391,0,0.993953096481936,0.9951908248223408,0.9914299319430199,0.9831408184091744
11170698,P31391,0,0.9955210259303059,0.9951908248223408,0.9946708265454572,0.9831408184091744
11170698,P31391,0,0.9955210259303059,0.9951908248223408,0.9946708265454572,0.9831408184091744
11205475,P31391,0,0.9956027303244396,0.9951908248223408,0.9955941240874796,0.9831408184091744
11205475,P31391,0,0.9956027303244396,0.9951908248223408,0.9955941240874796,0.9831408184091744
11205475,P31391,0,0.9956027303244396,0.9951908248223408,0.9955941240874796,0.9831408184091744
11205475,P31391,0,0.9956027303244396,0.9951908248223408,0.9955941240874796,0.9831408184091744
11205475,P31391,0,0.9956027303244396,0.9951908248223408,0.9955941240874796,0.9831408184091744
11205475,P31391,0,0.9956027303244396,0.9951908248223408,0.9955941240874796,0.9831408184091744
44278770,P31391,0,0.994732540600042,0.9951908248223408,0.993716596308334,0.9831408184091744
24860201,P31391,0,0.9923754437310808,0.9951908248223408,0.9983059399544614,0.9831408184091744
127030101,P31391,0,0.9966157845069068,0.9951908248223408,0.9963300019021896,0.9831408184091744
9854636,P31391,0,0.9946723924048128,0.9951908248223408,0.9954041847616434,0.9831408184091744
9854636,P31391,0,0.9946723924048128,0.9951908248223408,0.9954041847616434,0.9831408184091744
16148596,P31391,0,0.9947917724728632,0.9951908248223408,0.9520614985491035,0.9831408184091744
16148596,P31391,0,0.9947917724728632,0.9951908248223408,0.9520614985491035,0.9831408184091744
11389178,P31391,0,0.9950108282563056,0.9951908248223408,0.9984933752869516,0.9831408184091744
11389178,P31391,0,0.9950108282563056,0.9951908248223408,0.9984933752869516,0.9831408184091744
76321778,P31391,0,0.9945584665638266,0.9951908248223408,0.9828653366272183,0.9831408184091744
86293506,P31391,0,0.9828704147288492,0.9951908248223408,0.8706053612686195,0.9831408184091744
16157479,P31391,0,0.9973458988426755,0.9951908248223408,0.956508516866426,0.9831408184091744
16154096,P31391,0,0.9938357420815476,0.9951908248223408,0.9931785474281182,0.9831408184091744
73345528,P31391,0,0.993443376922316,0.9951908248223408,0.9968977226882209,0.9831408184091744
73345528,P31391,0,0.993443376922316,0.9951908248223408,0.9968977226882209,0.9831408184091744
11320738,P31391,0,0.9923004707515652,0.9951908248223408,0.9970702956720037,0.9831408184091744
11320738,P31391,0,0.9923004707515652,0.9951908248223408,0.9970702956720037,0.9831408184091744
11320738,P31391,0,0.9923004707515652,0.9951908248223408,0.9970702956720037,0.9831408184091744
11205496,P31391,0,0.9962559509394632,0.9951908248223408,0.9926624721023243,0.9831408184091744
11205496,P31391,0,0.9962559509394632,0.9951908248223408,0.9926624721023243,0.9831408184091744
11378299,P31391,0,0.9952798754304476,0.9951908248223408,0.9865445751794356,0.9831408184091744
11378299,P31391,0,0.9952798754304476,0.9951908248223408,0.9865445751794356,0.9831408184091744
16129681,P31391,1,0.99437702542078,0.9951908248223408,0.9553240115617215,0.9831408184091744
16129681,P31391,0,0.99437702542078,0.9951908248223408,0.9553240115617215,0.9831408184091744
16129681,P31391,0,0.99437702542078,0.9951908248223408,0.9553240115617215,0.9831408184091744
16129681,P31391,0,0.99437702542078,0.9951908248223408,0.9553240115617215,0.9831408184091744
25187399,P31391,0,0.9889285013581351,0.9951908248223408,0.9991741410415816,0.9831408184091744
44388125,P31391,0,0.9949999789005668,0.9951908248223408,0.9755823931706507,0.9831408184091744
16154000,P31391,0,0.9946083081860464,0.9951908248223408,0.9891760534959415,0.9831408184091744
86294248,P31391,0,0.9558850943322812,0.9951908248223408,0.868159469016976,0.9831408184091744
72947672,P31391,0,0.9952661744330596,0.9951908248223408,0.9843119116417216,0.9831408184091744
383414,P31391,0,0.9852533524753262,0.9951908248223408,0.9891676440332764,0.9831408184091744
44420805,P31391,0,0.9941315746295362,0.9951908248223408,0.9891676440332764,0.9831408184091744
44420803,P31391,0,0.9947593499311318,0.9951908248223408,0.9891676440332764,0.9831408184091744
44420802,P31391,0,0.9944072706898116,0.9951908248223408,0.9671379331638913,0.9831408184091744
44388117,P31391,0,0.9965550096330904,0.9951908248223408,0.9565815741475979,0.9831408184091744
44420804,P31391,0,0.9942673056376512,0.9951908248223408,0.9546845330234355,0.9831408184091744
44388046,P31391,0,0.9948037764210386,0.9951908248223408,0.9966136630553591,0.9831408184091744
86292350,P31391,0,0.9704521978378186,0.9951908248223408,0.9594869119960852,0.9831408184091744
44420807,P31391,0,0.9963114625392014,0.9951908248223408,0.9875922794025429,0.9831408184091744
16152257,P31391,0,0.9945620155619476,0.9951908248223408,0.9593314609734581,0.9831408184091744
16152257,P31391,0,0.9945620155619476,0.9951908248223408,0.966216826915371,0.9831408184091744
24859056,P31391,0,0.9944944324744152,0.9951908248223408,0.9916756583362931,0.9831408184091744
24859056,P31391,0,0.9944944324744152,0.9951908248223408,0.9916756583362931,0.9831408184091744
44311601,P31391,0,0.9954669090756378,0.9951908248223408,0.9936801146090876,0.9831408184091744
44311601,P31391,0,0.9954669090756378,0.9951908248223408,0.9936801146090876,0.9831408184091744
16149640,P31391,0,0.9927051774263604,0.9951908248223408,0.9676858038761557,0.9831408184091744
44388047,P31391,0,0.9906236790318772,0.9951908248223408,0.9676858038761557,0.9831408184091744
11240205,P31391,0,0.9930457097645162,0.9951908248223408,0.9568615554647382,0.9831408184091744
24858018,P31391,0,0.9946784889084884,0.9951908248223408,0.9859134581664282,0.9831408184091744
24858018,P31391,0,0.9946784889084884,0.9951908248223408,0.9940683922222395,0.9831408184091744
24859645,P31391,0,0.9940576667409085,0.9951908248223408,0.9943972985241617,0.9831408184091744
24859645,P31391,0,0.9940576667409085,0.9951908248223408,0.9943972985241617,0.9831408184091744
11468916,P31391,0,0.9944851490299194,0.9951908248223408,0.9932408802919518,0.9831408184091744
44420806,P31391,0,0.9890410550411703,0.9951908248223408,0.9932408802919518,0.9831408184091744
11274767,P31391,0,0.9947250091104992,0.9951908248223408,0.9974771082391015,0.9831408184091744
11274767,P31391,0,0.9947250091104992,0.9951908248223408,0.9564215879032777,0.9831408184091744
44388023,P31391,0,0.995204560690108,0.9951908248223408,0.9944546420739886,0.9831408184091744
44368080,P31391,0,0.9938179157872176,0.9951908248223408,0.9944546420739886,0.9831408184091744
16151159,P31391,0,0.9957077363610756,0.9951908248223408,0.9897766832330722,0.9831408184091744
16150676,P31391,0,0.995607226959786,0.9951908248223408,0.9976297454901805,0.9831408184091744
25188219,P31391,0,0.9871245607435922,0.9951908248223408,0.9498644592156869,0.9831408184091744
24859494,P31391,0,0.9930857896516762,0.9951908248223408,0.9604726250270228,0.9831408184091744
118718416,P31391,0,0.991953349960103,0.9951908248223408,0.9751016451928086,0.9831408184091744
16151781,P31391,0,0.9940159388949524,0.9951908248223408,0.9953443975728509,0.9831408184091744
16150915,P31391,0,0.9944748467290888,0.9951908248223408,0.9547302077777677,0.9831408184091744
16153077,P31391,0,0.9913006673939898,0.9951908248223408,0.9881138584731193,0.9831408184091744
44388115,P31391,0,0.9940744675599684,0.9951908248223408,0.9567986830828102,0.9831408184091744
127049049,P25025,0,0.9884335166746572,0.964619024445938,0.9929815314467249,0.9901218002266746
136036527,P25025,0,0.971337592864376,0.964619024445938,0.9769213033058031,0.9901218002266746
11322291,P25025,0,0.9713027946241176,0.964619024445938,0.9631268304566007,0.9901218002266746
2812,P25025,1,0.9749835676310188,0.964619024445938,0.9487082686610427,0.9901218002266746
44446647,P25025,0,0.9635710704358088,0.964619024445938,0.9384878164591353,0.9901218002266746
127050017,P25025,0,0.9874348723601694,0.964619024445938,0.9905526757226677,0.9901218002266746
10237959,P25025,0,0.9664507214244902,0.964619024445938,0.9905526757226677,0.9901218002266746
10478354,P25025,0,0.97942399270428,0.964619024445938,0.9905526757226677,0.9901218002266746
10252630,P25025,0,0.9734426990851324,0.964619024445938,0.9905526757226677,0.9901218002266746
44455014,P25025,0,0.9737051716006886,0.964619024445938,0.9905526757226677,0.9901218002266746
127052172,P25025,0,0.9873006050477224,0.964619024445938,0.9905526757226677,0.9901218002266746
44447952,P25025,0,0.9753033256838268,0.964619024445938,0.9905526757226677,0.9901218002266746
127049371,P25025,0,0.9897743102470942,0.964619024445938,0.9905526757226677,0.9901218002266746
9978981,P25025,0,0.9788293558263704,0.964619024445938,0.9905526757226677,0.9901218002266746
127052174,P25025,0,0.9644020222948588,0.964619024445938,0.9905526757226677,0.9901218002266746
10411524,P25025,0,0.9780352575795634,0.964619024445938,0.9905526757226677,0.9901218002266746
10150721,P25025,0,0.9750017940885634,0.964619024445938,0.9905526757226677,0.9901218002266746
9928389,P25025,0,0.8900106915009681,0.964619024445938,0.9905526757226677,0.9901218002266746
10237849,P25025,0,0.9764198249769582,0.964619024445938,0.9905526757226677,0.9901218002266746
127050964,P25025,0,0.9670188788253598,0.964619024445938,0.9905526757226677,0.9901218002266746
12073810,P25025,0,0.9779456040948852,0.964619024445938,0.9680944419985127,0.9901218002266746
