run_id,run_threshold,used_dim_red_weights,used_training_weights,accuracy,precision,recall,f1_score_weighted,f1_score_unweighted,xgb_learning_rate,xgb_n_estimators,xgb_objective,xgb_subsample,xgb_min_child_weight,xgb_max_depth,xgb_gamma,xgb_colsample_bytree
0,0.1,True,False,87.3317498020586,79.03357903357903,63.949635520212055,0.6230867012073763,0.706959706959707,0.02,600,binary:logistic,0.6,1,6,5,0.8
1,0.09,True,False,87.53233043019266,81.11526300661109,62.33708857963332,0.6173799794034952,0.7049712715463402,0.02,600,binary:logistic,0.6,1,6,5,0.8
2,0.08,True,False,88.08128793877013,83.7749330157785,62.16037110669318,0.6268984069217124,0.7136697945726604,0.02,600,binary:logistic,0.6,1,6,5,0.8
3,0.07,True,False,88.1499076273423,84.97854077253218,61.23260437375746,0.6219983273959686,0.7117730132237771,0.02,600,binary:logistic,0.6,1,6,5,0.8
4,0.06,True,False,88.27131169173924,86.27636134718287,60.54782416611443,0.6286853090148469,0.7115784008307373,0.02,600,binary:logistic,0.6,1,6,5,0.8
